"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.88956,12.809,86.454,0.30864,-0.0032964,-2.0702e-10,-1.2806e-11,80.626,0.30866,12.809,86.454,0.020697,-0.022981,-6.8283e-13,1,7.8232,58.623,0,0
0.88956,12.914,86.049,0.30619,-0.0029262,-2.0535e-10,-1.2974e-11,80.187,0.30621,12.914,86.049,0.020691,-0.02292,-6.8312e-13,1,7.9248,58.725,0,0
0.88956,13.02,85.648,0.3049,-0.0025613,-2.0288e-10,-1.3143e-11,79.751,0.30492,13.02,85.648,0.020684,-0.022859,-6.8342e-13,1,8.0264,58.826,0,0
0.88956,13.127,85.251,0.30476,-0.0022015,-1.9961e-10,-1.3311e-11,79.318,0.30478,13.127,85.251,0.020678,-0.022798,-6.8371e-13,1,8.128,58.928,0,0
0.88956,13.235,84.856,0.30578,-0.0018469,-1.9554e-10,-1.348e-11,78.886,0.3058,13.235,84.856,0.020672,-0.022737,-6.8401e-13,1,8.2296,59.03,0,0
0.88956,13.345,84.464,0.30796,-0.0014975,-1.9067e-10,-1.3649e-11,78.457,0.30797,13.345,84.464,0.020666,-0.022677,-6.843e-13,1,8.3312,59.131,0,0
0.88956,13.456,84.076,0.31129,-0.0011532,-1.85e-10,-1.3817e-11,78.03,0.31131,13.456,84.076,0.020661,-0.022616,-6.846e-13,1,8.4328,59.233,0,0
0.88956,13.568,83.691,0.31578,-0.00081416,-1.7853e-10,-1.3986e-11,77.605,0.31579,13.568,83.691,0.020655,-0.022555,-6.8489e-13,1,8.5344,59.334,0,0
0.88956,13.681,83.309,0.32143,-0.00048023,-1.7126e-10,-1.4154e-11,77.183,0.32144,13.681,83.309,0.020649,-0.022494,-6.8519e-13,1,8.636,59.436,0,0
0.88956,13.796,82.93,0.32823,-0.00015148,-1.6319e-10,-1.4323e-11,76.763,0.32824,13.796,82.93,0.020644,-0.022433,-6.8548e-13,1,8.7376,59.538,0,0
0.88956,13.912,82.555,0.33619,0.0001721,-1.5433e-10,-1.4491e-11,76.345,0.3362,13.912,82.555,0.020639,-0.022372,-6.8578e-13,1,8.8392,59.639,0,0
0.88956,14.029,82.183,0.3453,0.00049052,-1.4466e-10,-1.466e-11,75.93,0.34532,14.029,82.183,0.020633,-0.022311,-6.8607e-13,1,8.9408,59.741,0,0
0.88956,14.147,81.814,0.35557,0.00080377,-1.3419e-10,-1.4828e-11,75.517,0.35559,14.147,81.814,0.020628,-0.02225,-6.8637e-13,1,9.0424,59.842,0,0
0.88956,14.266,81.448,0.367,0.0011119,-1.2292e-10,-1.4997e-11,75.106,0.36702,14.266,81.448,0.020623,-0.022189,-6.8666e-13,1,9.144,59.944,0,0
0.88956,14.387,81.085,0.37959,0.0014148,-1.1085e-10,-1.5166e-11,74.697,0.3796,14.387,81.085,0.020618,-0.022128,-6.8696e-13,1,9.2456,60.046,0,0
0.88956,14.509,80.726,0.39333,0.0017125,-9.7987e-11,-1.5334e-11,74.291,0.39334,14.509,80.726,0.020614,-0.022067,-6.8725e-13,1,9.3472,60.147,0,0
0.88956,14.632,80.369,0.40823,0.0020051,-8.4321e-11,-1.5503e-11,73.887,0.40824,14.632,80.369,0.020609,-0.022006,-6.8755e-13,1,9.4488,60.249,0,0
0.88956,14.757,80.016,0.42429,0.0022925,-6.9854e-11,-1.5671e-11,73.485,0.42429,14.757,80.016,0.020604,-0.021945,-6.8784e-13,1,9.5504,60.35,0,0
0.88956,14.882,79.666,0.4415,0.0025748,-5.4587e-11,-1.584e-11,73.085,0.44151,14.882,79.666,0.0206,-0.021884,-6.8814e-13,1,9.652,60.452,0,0
0.88956,15.009,79.32,0.45987,0.0028519,-3.8521e-11,-1.6008e-11,72.688,0.45987,15.009,79.32,0.020596,-0.021823,-6.8844e-13,1,9.7536,60.554,0,0
0.88956,15.137,78.976,0.4794,0.0031238,-2.1655e-11,-1.6177e-11,72.293,0.4794,15.137,78.976,0.020591,-0.021763,-6.8873e-13,1,9.8552,60.655,0,0
0.88956,15.266,78.636,0.50008,0.0033906,-3.9891e-12,-1.6345e-11,71.9,0.50008,15.266,78.636,0.020587,-0.021702,-6.8903e-13,1,9.9568,60.757,0,0
0.88956,15.397,78.299,0.52192,0.0036522,1.4476e-11,-1.6514e-11,71.51,0.52192,15.397,78.299,0.020583,-0.021641,-6.8932e-13,1,10.058,60.858,0,0
0.88956,15.529,77.963,0.5449,0.003833,3.38e-11,-1.6683e-11,71.12,0.5449,15.529,77.963,0.020579,-0.021579,-6.8962e-13,1,10.16,60.96,0,0
0.88941,15.561,77.588,0.52474,0.0042735,3.3523e-11,-1.6693e-11,70.753,0.52474,15.561,77.588,0.020575,-0.021518,-6.899e-13,1,10.262,61.062,0,0
0.88927,15.594,77.215,0.50529,0.0047091,3.3245e-11,-1.6703e-11,70.388,0.50529,15.594,77.215,0.020572,-0.021457,-6.9019e-13,1,10.363,61.163,0,0
0.88912,15.627,76.844,0.48654,0.0051398,3.2967e-11,-1.6713e-11,70.024,0.48655,15.627,76.844,0.020568,-0.021397,-6.9047e-13,1,10.465,61.265,0,0
0.88897,15.661,76.476,0.4685,0.0055657,3.269e-11,-1.6723e-11,69.663,0.4685,15.661,76.476,0.020564,-0.021336,-6.9075e-13,1,10.566,61.366,0,0
0.88883,15.697,76.109,0.45115,0.0059866,3.2412e-11,-1.6733e-11,69.302,0.45115,15.697,76.109,0.020561,-0.021275,-6.9104e-13,1,10.668,61.468,0,0
0.88868,15.733,75.745,0.43451,0.0064027,3.2135e-11,-1.6742e-11,68.943,0.43451,15.733,75.745,0.020557,-0.021214,-6.9132e-13,1,10.77,61.57,0,0
0.88853,15.77,75.382,0.41856,0.006814,3.1857e-11,-1.6752e-11,68.586,0.41856,15.77,75.382,0.020554,-0.021153,-6.9161e-13,1,10.871,61.671,0,0
0.88839,15.807,75.022,0.40332,0.0072203,3.1579e-11,-1.6762e-11,68.231,0.40332,15.807,75.022,0.02055,-0.021092,-6.9189e-13,1,10.973,61.773,0,0
0.88824,15.846,74.664,0.38878,0.0076218,3.1302e-11,-1.6772e-11,67.877,0.38878,15.846,74.664,0.020547,-0.021031,-6.9217e-13,1,11.074,61.874,0,0
0.88809,15.885,74.308,0.37494,0.0080184,3.1024e-11,-1.6782e-11,67.524,0.37494,15.885,74.308,0.020544,-0.02097,-6.9246e-13,1,11.176,61.976,0,0
0.88795,15.926,73.954,0.3618,0.0084101,3.0747e-11,-1.6792e-11,67.173,0.3618,15.926,73.954,0.020541,-0.020909,-6.9274e-13,1,11.278,62.078,0,0
0.8878,15.967,73.602,0.34937,0.008797,3.0469e-11,-1.6802e-11,66.824,0.34937,15.967,73.602,0.020538,-0.020848,-6.9303e-13,1,11.379,62.179,0,0
0.88765,16.009,73.252,0.33763,0.009179,3.0191e-11,-1.6811e-11,66.476,0.33763,16.009,73.252,0.020535,-0.020787,-6.9331e-13,1,11.481,62.281,0,0
0.88751,16.052,72.905,0.3266,0.0095561,2.9914e-11,-1.6821e-11,66.13,0.3266,16.052,72.905,0.020532,-0.020726,-6.936e-13,1,11.582,62.382,0,0
0.88736,16.095,72.559,0.31626,0.0099284,2.9636e-11,-1.6831e-11,65.786,0.31627,16.095,72.559,0.020529,-0.020665,-6.9388e-13,1,11.684,62.484,0,0
0.88722,16.14,72.216,0.30663,0.010296,2.9359e-11,-1.6841e-11,65.443,0.30664,16.14,72.216,0.020526,-0.020604,-6.9416e-13,1,11.786,62.586,0,0
0.88707,16.185,71.874,0.2977,0.010658,2.9081e-11,-1.6851e-11,65.101,0.29771,16.185,71.874,0.020523,-0.020543,-6.9445e-13,1,11.887,62.687,0,0
0.88692,16.232,71.535,0.28947,0.011016,2.8803e-11,-1.6861e-11,64.761,0.28948,16.232,71.535,0.020521,-0.020482,-6.9473e-13,1,11.989,62.789,0,0
0.88678,16.279,71.198,0.28195,0.011369,2.8526e-11,-1.6871e-11,64.423,0.28195,16.279,71.198,0.020518,-0.020421,-6.9502e-13,1,12.09,62.89,0,0
0.88663,16.327,70.863,0.27512,0.011717,2.8248e-11,-1.6881e-11,64.086,0.27512,16.327,70.863,0.020516,-0.02036,-6.953e-13,1,12.192,62.992,0,0
0.88648,16.376,70.53,0.269,0.01206,2.7971e-11,-1.689e-11,63.751,0.269,16.376,70.53,0.020513,-0.020299,-6.9559e-13,1,12.294,63.094,0,0
0.88634,16.425,70.199,0.26357,0.012398,2.7693e-11,-1.69e-11,63.418,0.26358,16.425,70.199,0.020511,-0.020239,-6.9587e-13,1,12.395,63.195,0,0
0.88619,16.476,69.871,0.25885,0.012731,2.7416e-11,-1.691e-11,63.086,0.25886,16.476,69.871,0.020509,-0.020178,-6.9615e-13,1,12.497,63.297,0,0
0.88604,16.527,69.544,0.25483,0.01306,2.7138e-11,-1.692e-11,62.755,0.25483,16.527,69.544,0.020507,-0.020117,-6.9644e-13,1,12.598,63.398,0,0
0.8859,16.579,69.22,0.25151,0.013383,2.686e-11,-1.693e-11,62.427,0.25152,16.579,69.22,0.020504,-0.020056,-6.9672e-13,1,12.7,63.5,0,0
0.88575,16.633,68.897,0.24889,0.013702,2.6583e-11,-1.694e-11,62.099,0.2489,16.633,68.897,0.020502,-0.019995,-6.9701e-13,1,12.802,63.602,0,0
0.8856,16.686,68.577,0.24698,0.014016,2.6305e-11,-1.695e-11,61.774,0.24698,16.686,68.577,0.020501,-0.019934,-6.9729e-13,1,12.903,63.703,0,0
0.88546,16.741,68.259,0.24576,0.014325,2.6028e-11,-1.696e-11,61.45,0.24577,16.741,68.259,0.020499,-0.019873,-6.9757e-13,1,13.005,63.805,0,0
0.88531,16.797,67.943,0.24525,0.014629,2.575e-11,-1.6969e-11,61.127,0.24525,16.797,67.943,0.020497,-0.019812,-6.9786e-13,1,13.106,63.906,0,0
0.88517,16.853,67.629,0.24544,0.014928,2.5472e-11,-1.6979e-11,60.806,0.24544,16.853,67.629,0.020495,-0.019751,-6.9814e-13,1,13.208,64.008,0,0
0.88502,16.911,67.317,0.24633,0.015222,2.5195e-11,-1.6989e-11,60.487,0.24633,16.911,67.317,0.020493,-0.01969,-6.9843e-13,1,13.31,64.11,0,0
0.88487,16.969,67.007,0.24792,0.015512,2.4917e-11,-1.6999e-11,60.169,0.24792,16.969,67.007,0.020492,-0.019629,-6.9871e-13,1,13.411,64.211,0,0
0.88473,17.028,66.699,0.25021,0.015796,2.464e-11,-1.7009e-11,59.853,0.25021,17.028,66.699,0.02049,-0.019568,-6.99e-13,1,13.513,64.313,0,0
0.88458,17.088,66.394,0.2532,0.016076,2.4362e-11,-1.7019e-11,59.538,0.25321,17.088,66.394,0.020489,-0.019507,-6.9928e-13,1,13.614,64.414,0,0
0.88443,17.149,66.09,0.2569,0.016351,2.4084e-11,-1.7029e-11,59.225,0.2569,17.149,66.09,0.020488,-0.019446,-6.9956e-13,1,13.716,64.516,0,0
0.88429,17.21,65.789,0.26129,0.016621,2.3807e-11,-1.7039e-11,58.914,0.2613,17.21,65.789,0.020486,-0.019385,-6.9985e-13,1,13.818,64.618,0,0
0.88414,17.273,65.489,0.26639,0.016886,2.3529e-11,-1.7048e-11,58.604,0.26639,17.273,65.489,0.020485,-0.019324,-7.0013e-13,1,13.919,64.719,0,0
0.88399,17.336,65.192,0.27219,0.017147,2.3252e-11,-1.7058e-11,58.295,0.27219,17.336,65.192,0.020484,-0.019263,-7.0042e-13,1,14.021,64.821,0,0
0.88385,17.4,64.897,0.27869,0.017402,2.2974e-11,-1.7068e-11,57.989,0.27869,17.4,64.897,0.020483,-0.019202,-7.007e-13,1,14.122,64.922,0,0
0.8837,17.465,64.604,0.28589,0.017653,2.2696e-11,-1.7078e-11,57.683,0.28589,17.465,64.604,0.020482,-0.019141,-7.0099e-13,1,14.224,65.024,0,0
0.88355,17.531,64.313,0.29379,0.017898,2.2419e-11,-1.7088e-11,57.38,0.2938,17.531,64.313,0.020481,-0.01908,-7.0127e-13,1,14.326,65.126,0,0
0.88341,17.598,64.024,0.3024,0.018139,2.2141e-11,-1.7098e-11,57.078,0.3024,17.598,64.024,0.02048,-0.019019,-7.0155e-13,1,14.427,65.227,0,0
0.88326,17.665,63.738,0.3117,0.018375,2.1864e-11,-1.7108e-11,56.777,0.3117,17.665,63.738,0.020479,-0.018958,-7.0184e-13,1,14.529,65.329,0,0
0.88312,17.734,63.453,0.32171,0.018606,2.1586e-11,-1.7118e-11,56.478,0.32171,17.734,63.453,0.020479,-0.018897,-7.0212e-13,1,14.63,65.43,0,0
0.88297,17.803,63.171,0.33242,0.018833,2.1308e-11,-1.7127e-11,56.181,0.33242,17.803,63.171,0.020478,-0.018836,-7.0241e-13,1,14.732,65.532,0,0
