"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0089506,2.8615e-08,-0.00056546,-0.93236,19.444,-1.554e-06,-0.00032559,-1.0449e-11,-9.3753e-12,19.927,-0.93236,-1.554e-06,19.444,0.032119,1,0.38,95.38,0,5
0.0089505,2.8611e-08,-0.00056546,-0.93128,19.443,-1.775e-06,-0.00052611,-1.0269e-11,-9.2504e-12,19.925,-0.93128,-1.775e-06,19.443,0.032119,1,0.385,95.385,0,5
0.0089503,2.8608e-08,-0.00056546,-0.93021,19.442,-1.9651e-06,-0.0007104,-1.009e-11,-9.1252e-12,19.924,-0.93021,-1.9651e-06,19.442,0.032119,1,0.39,95.39,0,5
0.0089501,2.8604e-08,-0.00056546,-0.92913,19.441,-2.1247e-06,-0.00087879,-9.9106e-12,-8.9995e-12,19.922,-0.92913,-2.1247e-06,19.441,0.032119,1,0.395,95.395,0,5
0.00895,2.8601e-08,-0.00056546,-0.92806,19.44,-2.2539e-06,-0.0010315,-9.7311e-12,-8.8732e-12,19.92,-0.92806,-2.2539e-06,19.44,0.032119,1,0.4,95.4,0,5
0.0089498,2.8597e-08,-0.00056546,-0.92698,19.439,-2.3522e-06,-0.001168,-9.552e-12,-8.7467e-12,19.919,-0.92698,-2.3522e-06,19.439,0.032119,1,0.405,95.405,0,5
0.0089497,2.8594e-08,-0.00056546,-0.92591,19.438,-2.4202e-06,-0.0012889,-9.3726e-12,-8.6195e-12,19.917,-0.92591,-2.4202e-06,19.438,0.032119,1,0.41,95.41,0,5
0.0089495,2.859e-08,-0.00056546,-0.92483,19.437,-2.4574e-06,-0.0013936,-9.1935e-12,-8.4921e-12,19.915,-0.92483,-2.4574e-06,19.437,0.032119,1,0.415,95.415,0,5
0.0089493,2.8587e-08,-0.00056546,-0.92376,19.436,-2.464e-06,-0.0014824,-9.0146e-12,-8.3641e-12,19.914,-0.92376,-2.464e-06,19.436,0.032119,1,0.42,95.42,0,5
0.0089492,2.8583e-08,-0.00056546,-0.92269,19.435,-2.44e-06,-0.0015554,-8.8354e-12,-8.2356e-12,19.912,-0.92269,-2.44e-06,19.435,0.032119,1,0.425,95.425,0,5
0.008949,2.858e-08,-0.00056546,-0.92162,19.434,-2.3855e-06,-0.0016124,-8.6565e-12,-8.1068e-12,19.91,-0.92162,-2.3855e-06,19.434,0.032119,1,0.43,95.43,0,5
0.0089489,2.8576e-08,-0.00056546,-0.92055,19.433,-2.3004e-06,-0.0016534,-8.4777e-12,-7.9775e-12,19.909,-0.92055,-2.3004e-06,19.433,0.032119,1,0.435,95.435,0,5
0.0089487,2.8572e-08,-0.00056546,-0.91948,19.432,-2.1846e-06,-0.0016786,-8.2986e-12,-7.8476e-12,19.907,-0.91948,-2.1846e-06,19.432,0.032119,1,0.44,95.44,0,5
0.0089485,2.8569e-08,-0.00056546,-0.91841,19.43,-2.0383e-06,-0.0016879,-8.1199e-12,-7.7174e-12,19.906,-0.91841,-2.0383e-06,19.43,0.032119,1,0.445,95.445,0,5
0.0089484,2.8565e-08,-0.00056546,-0.91734,19.429,-1.8615e-06,-0.0016812,-7.9413e-12,-7.5868e-12,19.904,-0.91734,-1.8615e-06,19.429,0.032119,1,0.45,95.45,0,5
0.0089482,2.8562e-08,-0.00056546,-0.91628,19.428,-1.6538e-06,-0.0016586,-7.7624e-12,-7.4555e-12,19.902,-0.91628,-1.6538e-06,19.428,0.032119,1,0.455,95.455,0,5
0.0089481,2.8558e-08,-0.00056546,-0.91521,19.427,-1.4158e-06,-0.0016201,-7.5839e-12,-7.3239e-12,19.901,-0.91521,-1.4158e-06,19.427,0.032119,1,0.46,95.46,0,5
0.0089479,2.8555e-08,-0.00056546,-0.91415,19.426,-1.1473e-06,-0.0015656,-7.4054e-12,-7.192e-12,19.899,-0.91415,-1.1473e-06,19.426,0.032119,1,0.465,95.465,0,5
0.0089477,2.8551e-08,-0.00056546,-0.91308,19.425,-8.4766e-07,-0.0014952,-7.2267e-12,-7.0593e-12,19.897,-0.91308,-8.4766e-07,19.425,0.032119,1,0.47,95.47,0,5
0.0089476,2.8548e-08,-0.00056546,-0.91202,19.424,-5.1793e-07,-0.001409,-7.0484e-12,-6.9264e-12,19.896,-0.91202,-5.1793e-07,19.424,0.032119,1,0.475,95.475,0,5
0.0089474,2.8544e-08,-0.00056546,-0.91095,19.423,-1.5707e-07,-0.0013066,-6.8698e-12,-6.7928e-12,19.894,-0.91095,-1.5707e-07,19.423,0.032119,1,0.48,95.48,0,5
0.0089473,2.8541e-08,-0.00056546,-0.90989,19.422,2.3383e-07,-0.0011885,-6.6915e-12,-6.659e-12,19.893,-0.90989,2.3383e-07,19.422,0.032119,1,0.485,95.485,0,5
0.0089471,2.8537e-08,-0.00056546,-0.90883,19.421,6.5529e-07,-0.0010546,-6.5133e-12,-6.5248e-12,19.891,-0.90883,6.5529e-07,19.421,0.032119,1,0.49,95.49,0,5
0.008947,2.8534e-08,-0.00056546,-0.90777,19.42,1.108e-06,-0.00090442,-6.3349e-12,-6.3898e-12,19.889,-0.90777,1.108e-06,19.42,0.032119,1,0.495,95.495,0,5
0.0089468,2.853e-08,-0.00056546,-0.90671,19.419,1.5907e-06,-0.00073859,-6.1568e-12,-6.2547e-12,19.888,-0.90671,1.5907e-06,19.419,0.032119,1,0.5,95.5,0,5
0.0089466,2.8677e-08,-0.00056546,-0.90564,19.418,1.5827e-06,-0.00072638,-6.0503e-12,-6.2741e-12,19.886,-0.90564,1.5827e-06,19.418,0.032115,1,0.505,95.505,0,5
0.0089465,2.8673e-08,-0.00056546,-0.90458,19.417,1.5727e-06,-0.00071453,-5.9445e-12,-6.2925e-12,19.884,-0.90458,1.5727e-06,19.417,0.032112,1,0.51,95.51,0,5
0.0089463,2.867e-08,-0.00056546,-0.90352,19.416,1.5622e-06,-0.00070285,-5.8388e-12,-6.3095e-12,19.883,-0.90352,1.5622e-06,19.416,0.032109,1,0.515,95.515,0,5
0.0089461,2.8666e-08,-0.00056546,-0.90246,19.415,1.5511e-06,-0.00069133,-5.733e-12,-6.3251e-12,19.881,-0.90246,1.5511e-06,19.415,0.032106,1,0.52,95.52,0,5
0.008946,2.8663e-08,-0.00056546,-0.9014,19.413,1.5394e-06,-0.00067995,-5.6271e-12,-6.3394e-12,19.88,-0.9014,1.5394e-06,19.413,0.032103,1,0.525,95.525,0,5
0.0089458,2.8659e-08,-0.00056546,-0.90035,19.412,1.5271e-06,-0.00066874,-5.5213e-12,-6.3523e-12,19.878,-0.90035,1.5271e-06,19.412,0.032099,1,0.53,95.53,0,5
0.0089457,2.8656e-08,-0.00056546,-0.89928,19.411,1.5143e-06,-0.00065766,-5.4153e-12,-6.3638e-12,19.876,-0.89928,1.5143e-06,19.411,0.032096,1,0.535,95.535,0,5
0.0089455,2.8652e-08,-0.00056546,-0.89823,19.41,1.5009e-06,-0.00064676,-5.3094e-12,-6.374e-12,19.875,-0.89823,1.5009e-06,19.41,0.032093,1,0.54,95.54,0,5
0.0089454,2.8649e-08,-0.00056546,-0.89717,19.409,1.487e-06,-0.00063601,-5.2035e-12,-6.3828e-12,19.873,-0.89717,1.487e-06,19.409,0.03209,1,0.545,95.545,0,5
0.0089452,2.8645e-08,-0.00056546,-0.89611,19.408,1.4725e-06,-0.0006254,-5.0974e-12,-6.3903e-12,19.871,-0.89611,1.4725e-06,19.408,0.032087,1,0.55,95.55,0,5
0.008945,2.8642e-08,-0.00056546,-0.89505,19.407,1.4574e-06,-0.00061496,-4.9914e-12,-6.3963e-12,19.87,-0.89505,1.4574e-06,19.407,0.032083,1,0.555,95.555,0,5
0.0089449,2.8638e-08,-0.00056546,-0.89399,19.406,1.4418e-06,-0.00060467,-4.8854e-12,-6.401e-12,19.868,-0.89399,1.4418e-06,19.406,0.03208,1,0.56,95.56,0,5
0.0089447,2.8635e-08,-0.00056546,-0.89293,19.405,1.4256e-06,-0.00059452,-4.7792e-12,-6.4044e-12,19.867,-0.89293,1.4256e-06,19.405,0.032077,1,0.565,95.565,0,5
0.0089446,2.8631e-08,-0.00056546,-0.89187,19.404,1.4088e-06,-0.00058454,-4.6732e-12,-6.4063e-12,19.865,-0.89187,1.4088e-06,19.404,0.032074,1,0.57,95.57,0,5
0.0089444,2.8628e-08,-0.00056546,-0.89081,19.403,1.3915e-06,-0.00057472,-4.5671e-12,-6.4069e-12,19.863,-0.89081,1.3915e-06,19.403,0.032071,1,0.575,95.575,0,5
0.0089442,2.8624e-08,-0.00056546,-0.88975,19.402,1.3736e-06,-0.00056503,-4.4608e-12,-6.4061e-12,19.862,-0.88975,1.3736e-06,19.402,0.032067,1,0.58,95.58,0,5
0.0089441,2.8621e-08,-0.00056546,-0.88869,19.401,1.3552e-06,-0.00055552,-4.3546e-12,-6.404e-12,19.86,-0.88869,1.3552e-06,19.401,0.032064,1,0.585,95.585,0,5
0.0089439,2.8617e-08,-0.00056546,-0.88763,19.4,1.3362e-06,-0.00054615,-4.2484e-12,-6.4005e-12,19.858,-0.88763,1.3362e-06,19.4,0.032061,1,0.59,95.59,0,5
0.0089438,2.8614e-08,-0.00056546,-0.88657,19.399,1.3166e-06,-0.00053693,-4.142e-12,-6.3956e-12,19.857,-0.88657,1.3166e-06,19.399,0.032058,1,0.595,95.595,0,5
0.0089436,2.861e-08,-0.00056546,-0.88551,19.398,1.2964e-06,-0.00052788,-4.0357e-12,-6.3894e-12,19.855,-0.88551,1.2964e-06,19.398,0.032055,1,0.6,95.6,0,5
0.0089434,2.8607e-08,-0.00056546,-0.88445,19.397,1.2757e-06,-0.00051897,-3.9293e-12,-6.3818e-12,19.854,-0.88445,1.2757e-06,19.397,0.032051,1,0.605,95.605,0,5
0.0089433,2.8603e-08,-0.00056546,-0.88339,19.395,1.2544e-06,-0.00051022,-3.823e-12,-6.3728e-12,19.852,-0.88339,1.2544e-06,19.395,0.032048,1,0.61,95.61,0,5
0.0089431,2.86e-08,-0.00056546,-0.88234,19.394,1.2326e-06,-0.00050163,-3.7166e-12,-6.3625e-12,19.85,-0.88234,1.2326e-06,19.394,0.032045,1,0.615,95.615,0,5
0.008943,2.8596e-08,-0.00056546,-0.88127,19.393,1.2102e-06,-0.00049318,-3.61e-12,-6.3507e-12,19.849,-0.88127,1.2102e-06,19.393,0.032042,1,0.62,95.62,0,5
0.0089428,2.8593e-08,-0.00056546,-0.88022,19.392,1.1873e-06,-0.0004849,-3.5036e-12,-6.3377e-12,19.847,-0.88022,1.1873e-06,19.392,0.032039,1,0.625,95.625,0,5
0.0089426,2.8589e-08,-0.00056546,-0.87916,19.391,1.1637e-06,-0.00047677,-3.3972e-12,-6.3232e-12,19.845,-0.87916,1.1637e-06,19.391,0.032036,1,0.63,95.63,0,5
0.0089425,2.8586e-08,-0.00056546,-0.8781,19.39,1.1396e-06,-0.00046878,-3.2905e-12,-6.3074e-12,19.844,-0.8781,1.1396e-06,19.39,0.032032,1,0.635,95.635,0,5
0.0089423,2.8582e-08,-0.00056546,-0.87704,19.389,1.115e-06,-0.00046096,-3.184e-12,-6.2902e-12,19.842,-0.87704,1.115e-06,19.389,0.032029,1,0.64,95.64,0,5
0.0089422,2.8579e-08,-0.00056546,-0.87598,19.388,1.0898e-06,-0.0004533,-3.0774e-12,-6.2717e-12,19.841,-0.87598,1.0898e-06,19.388,0.032026,1,0.645,95.645,0,5
0.008942,2.8575e-08,-0.00056546,-0.87492,19.387,1.064e-06,-0.00044578,-2.9707e-12,-6.2517e-12,19.839,-0.87492,1.064e-06,19.387,0.032023,1,0.65,95.65,0,5
