"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.039214,1.6183,5.2558e-09,14.363,166.02,14.977,0.0037932,-6.3773e-08,3.5852e-05,151.36,14.229,15.111,166.02,0.79211,1,2.4,52.4,0,5
0.039204,1.6199,5.3248e-09,14.508,165.72,14.424,0.0037416,-6.1302e-08,3.265e-05,151.25,14.07,14.862,165.72,0.78819,1,2.45,52.45,0,5
0.039195,1.6214,5.392e-09,14.652,165.41,13.872,0.0036502,-5.8425e-08,2.9472e-05,151.15,13.872,14.652,165.41,0.78426,1,2.5,52.5,0,5
0.039186,1.623,5.4574e-09,14.795,165.1,13.323,0.0035192,-5.5141e-08,2.6315e-05,151.05,13.637,14.481,165.1,0.78034,1,2.55,52.55,0,5
0.039177,1.6245,5.5211e-09,14.937,164.79,12.775,0.0033485,-5.1451e-08,2.3182e-05,150.95,13.362,14.349,164.79,0.77641,1,2.6,52.6,0,5
0.039168,1.6261,5.5829e-09,15.078,164.49,12.228,0.0031381,-4.7353e-08,2.0071e-05,150.85,13.05,14.257,164.49,0.77249,1,2.65,52.65,0,5
0.039159,1.6276,5.643e-09,15.218,164.18,11.684,0.002888,-4.2849e-08,1.6983e-05,150.75,12.699,14.203,164.18,0.76856,1,2.7,52.7,0,5
0.03915,1.6292,5.7012e-09,15.358,163.87,11.141,0.0025983,-3.7939e-08,1.3918e-05,150.66,12.309,14.189,163.87,0.76464,1,2.75,52.75,0,5
0.039141,1.6307,5.7577e-09,15.497,163.56,10.599,0.0022689,-3.2622e-08,1.0876e-05,150.57,11.881,14.215,163.56,0.76071,1,2.8,52.8,0,5
0.039132,1.6322,5.8123e-09,15.635,163.26,10.06,0.0018998,-2.6898e-08,7.8563e-06,150.48,11.415,14.279,163.26,0.75678,1,2.85,52.85,0,5
0.039124,1.6338,5.8652e-09,15.772,162.95,9.5214,0.001491,-2.0767e-08,4.8592e-06,150.4,10.91,14.383,162.95,0.75286,1,2.9,52.9,0,5
0.039115,1.6353,5.9163e-09,15.908,162.65,8.985,0.0010425,-1.423e-08,1.885e-06,150.31,10.367,14.526,162.65,0.74893,1,2.95,52.95,0,5
0.039107,1.6369,5.9656e-09,16.043,162.34,8.4502,0.00055438,-7.2857e-09,-1.0664e-06,150.23,9.7857,14.708,162.34,0.74501,1,3,53,0,5
0.039099,1.6384,6.0131e-09,16.178,162.04,7.917,2.6571e-05,6.4833e-11,-3.9951e-06,150.15,9.1658,14.929,162.04,0.74108,1,3.05,53.05,0,5
0.03909,1.64,6.0588e-09,16.312,161.73,7.3855,-0.00054092,7.822e-09,-6.901e-06,150.07,8.5075,15.19,161.73,0.73716,1,3.1,53.1,0,5
0.039082,1.6415,6.1027e-09,16.445,161.42,6.8556,-0.0011481,1.5986e-08,-9.7845e-06,150,7.8107,15.49,161.42,0.73323,1,3.15,53.15,0,5
0.039074,1.643,6.1448e-09,16.577,161.12,6.3274,-0.001795,2.4557e-08,-1.2645e-05,149.93,7.0756,15.829,161.12,0.72931,1,3.2,53.2,0,5
0.039066,1.6446,6.1851e-09,16.708,160.82,5.8009,-0.0024815,3.3534e-08,-1.5483e-05,149.86,6.302,16.207,160.82,0.72538,1,3.25,53.25,0,5
0.039059,1.6461,6.2237e-09,16.839,160.51,5.276,-0.0032077,4.2918e-08,-1.8298e-05,149.79,5.4901,16.625,160.51,0.72145,1,3.3,53.3,0,5
0.039051,1.6477,6.2602e-09,16.925,160.23,4.862,-0.0036913,4.8317e-08,-2.0512e-05,149.7,4.862,16.925,160.23,0.71723,1,3.35,53.35,0,5
0.039043,1.6492,6.2945e-09,16.924,160.01,4.6706,-0.0035777,4.5125e-08,-2.1539e-05,149.59,4.6706,16.924,160.01,0.71246,1,3.4,53.4,0,5
0.039035,1.6508,6.3279e-09,16.924,159.78,4.4791,-0.0034632,4.2026e-08,-2.2559e-05,149.47,4.4791,16.924,159.78,0.70769,1,3.45,53.45,0,5
0.039027,1.6523,6.3603e-09,16.923,159.56,4.2874,-0.003348,3.9023e-08,-2.3571e-05,149.36,4.2874,16.923,159.56,0.70292,1,3.5,53.5,0,5
0.03902,1.6539,6.3917e-09,16.923,159.34,4.0957,-0.0032319,3.6113e-08,-2.4575e-05,149.24,4.0957,16.923,159.34,0.69816,1,3.55,53.55,0,5
0.039012,1.6554,6.4221e-09,16.923,159.11,3.9039,-0.003115,3.3297e-08,-2.5572e-05,149.12,3.9039,16.923,159.11,0.69339,1,3.6,53.6,0,5
0.039004,1.657,6.4515e-09,16.923,158.89,3.7119,-0.0029972,3.0576e-08,-2.6562e-05,149.01,3.7119,16.923,158.89,0.68862,1,3.65,53.65,0,5
0.038997,1.6585,6.48e-09,16.924,158.66,3.5198,-0.0028786,2.7948e-08,-2.7545e-05,148.89,3.5198,16.924,158.66,0.68385,1,3.7,53.7,0,5
