"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.018109,0.29172,0.001121,33.137,126.5,0.59671,0.00077433,-0.00068129,-2.9194,113.31,0.33693,33.397,126.5,0.96859,1,7.65,32.65,0,5
0.018108,0.29239,0.0011231,33.244,126.26,0.55369,0.00071321,-0.00065675,-2.9267,113.08,0.29382,33.504,126.26,0.96256,1,7.725,32.725,0,5
0.018106,0.29306,0.0011252,33.35,126.03,0.51036,0.00065342,-0.00063202,-2.934,112.86,0.25038,33.61,126.03,0.95653,1,7.8,32.8,0,5
0.018104,0.29373,0.0011271,33.457,125.79,0.46671,0.00059497,-0.00060708,-2.9415,112.63,0.20661,33.717,125.79,0.95049,1,7.875,32.875,0,5
0.018103,0.2944,0.0011291,33.564,125.56,0.42276,0.00053785,-0.00058195,-2.9491,112.41,0.16252,33.824,125.56,0.94446,1,7.95,32.95,0,5
0.018101,0.29507,0.0011309,33.671,125.32,0.37849,0.00048207,-0.00055662,-2.9568,112.19,0.11809,33.931,125.32,0.93843,1,8.025,33.025,0,5
0.0181,0.29574,0.0011327,33.777,125.09,0.33391,0.00042762,-0.00053109,-2.9646,111.97,0.073333,34.038,125.09,0.9324,1,8.1,33.1,0,5
0.018099,0.29641,0.0011344,33.885,124.85,0.28902,0.00037451,-0.00050536,-2.9725,111.74,0.028247,34.145,124.85,0.92637,1,8.175,33.175,0,5
0.018098,0.29708,0.001136,33.992,124.62,0.24382,-0.00032274,0.00047944,-2.9806,111.52,-0.01717,34.253,124.62,0,1,8.25,33.25,0,5
0.018097,0.29775,0.0011376,34.099,124.38,0.19831,-0.0002723,0.00045331,-2.9887,111.3,-0.062916,34.36,124.38,0,1,8.325,33.325,0,5
0.018096,0.29842,0.0011391,34.207,124.15,0.15248,-0.00022319,0.00042699,-2.9969,111.08,-0.10899,34.468,124.15,0,1,8.4,33.4,0,5
0.018095,0.29909,0.0011405,34.314,123.91,0.10635,-0.00017543,0.00040047,-3.0052,110.86,-0.15539,34.576,123.91,0,1,8.475,33.475,0,5
0.018094,0.29976,0.0011419,34.422,123.68,0.0599,-0.00012899,0.00037375,-3.0136,110.64,-0.20213,34.684,123.68,0,1,8.55,33.55,0,5
0.018093,0.30043,0.0011432,34.53,123.44,0.01314,-8.3899e-05,0.00034683,-3.0222,110.42,-0.24919,34.792,123.44,0,1,8.625,33.625,0,5
0.018092,0.3011,0.0011445,34.638,123.21,-0.033931,-4.0139e-05,0.00031971,-3.0308,110.2,-0.29658,34.9,123.21,0,1,8.7,33.7,0,5
0.018091,0.30177,0.0011456,34.746,122.97,-0.081314,2.2851e-06,0.00029239,-3.0395,109.99,-0.34431,35.009,122.97,0,1,8.775,33.775,0,5
0.018091,0.30244,0.0011467,34.854,122.73,-0.12901,4.3371e-05,0.00026488,-3.0484,109.77,-0.39236,35.117,122.73,0,1,8.85,33.85,0,5
0.01809,0.30311,0.0011478,34.962,122.5,-0.17701,8.3123e-05,0.00023717,-3.0573,109.55,-0.44074,35.226,122.5,0,1,8.925,33.925,0,5
0.018089,0.30378,0.0011488,35.071,122.26,-0.22533,0.00012154,0.00020926,-3.0663,109.33,-0.48945,35.335,122.26,0,1,9,34,0,5
0.018089,0.30445,0.0011497,35.179,122.03,-0.27396,0.00015862,0.00018115,-3.0755,109.12,-0.53849,35.444,122.03,0,1,9.075,34.075,0,5
0.018088,0.30512,0.0011505,35.288,121.79,-0.3229,0.00019436,0.00015284,-3.0847,108.9,-0.58786,35.553,121.79,0,1,9.15,34.15,0,5
0.018088,0.30579,0.0011513,35.397,121.55,-0.37215,0.00022877,0.00012433,-3.0941,108.69,-0.63756,35.662,121.55,0,1,9.225,34.225,0,5
0.018087,0.30646,0.001152,35.506,121.32,-0.42171,-0.00026184,-9.5627e-05,-3.1036,108.47,-0.68759,35.772,121.32,0.8359,1,9.3,34.3,0,5
0.018087,0.30713,0.0011526,35.615,121.08,-0.47159,-0.00029357,-6.6722e-05,-3.1131,108.26,-0.73795,35.881,121.08,0.82986,1,9.375,34.375,0,5
0.018086,0.3078,0.0011532,35.724,120.84,-0.52178,-0.00032397,-3.762e-05,-3.1228,108.05,-0.78863,35.991,120.84,0.82383,1,9.45,34.45,0,5
0.018086,0.30847,0.0011537,35.833,120.61,-0.57227,-0.00035303,-8.3185e-06,-3.1325,107.83,-0.83965,36.101,120.61,0.8178,1,9.525,34.525,0,5
0.018086,0.30914,0.0011541,35.943,120.37,-0.62308,-0.00038075,2.118e-05,-3.1424,107.62,-0.891,36.211,120.37,0.81177,1,9.6,34.6,0,5
0.018086,0.30981,0.0011545,36.052,120.13,-0.6742,-0.00040714,5.0878e-05,-3.1524,107.41,-0.94267,36.321,120.13,0.80574,1,9.675,34.675,0,5
0.018087,0.31048,0.0011548,36.162,119.9,-0.72564,-0.00043219,8.0775e-05,-3.1625,107.2,-0.99468,36.431,119.9,0.79971,1,9.75,34.75,0,5
0.018087,0.31115,0.0011551,36.272,119.66,-0.77738,-0.0004559,0.00011087,-3.1727,106.99,-1.047,36.542,119.66,0.79367,1,9.825,34.825,0,5
0.018087,0.31182,0.0011552,36.382,119.42,-0.82944,-0.00047828,0.00014116,-3.1829,106.77,-1.0997,36.652,119.42,0.78764,1,9.9,34.9,0,5
0.018087,0.31249,0.0011553,36.492,119.18,-0.8818,-0.00049932,0.00017166,-3.1933,106.56,-1.1527,36.763,119.18,0.78161,1,9.975,34.975,0,5
0.018088,0.31316,0.0011554,36.588,118.98,-0.9042,-0.00051983,0.00018161,-3.1824,106.37,-1.1724,36.856,118.98,0.77689,1,10.05,35.05,0,5
0.018088,0.31383,0.0011555,36.675,118.8,-0.91141,-0.00051208,0.00018175,-3.1609,106.18,-1.1754,36.939,118.8,0.77285,1,10.125,35.125,0,5
0.018089,0.3145,0.0011556,36.763,118.61,-0.91872,-0.00050414,0.0001813,-3.1395,105.99,-1.1786,37.023,118.61,0.76881,1,10.2,35.2,0,5
0.018089,0.31517,0.0011556,36.851,118.43,-0.92615,-0.00049601,0.00018027,-3.1182,105.8,-1.1819,37.107,118.43,0.76477,1,10.275,35.275,0,5
0.01809,0.31584,0.0011556,36.939,118.24,-0.93369,-0.00048769,0.00017867,-3.097,105.61,-1.1854,37.19,118.24,0.76073,1,10.35,35.35,0,5
0.01809,0.31651,0.0011556,37.026,118.06,-0.94133,-0.00047918,0.00017648,-3.076,105.42,-1.189,37.274,118.06,0.75669,1,10.425,35.425,0,5
0.018092,0.31718,0.0011556,37.114,117.87,-0.94909,0.00047048,-0.0001737,-3.055,105.23,-1.1928,37.358,117.87,0,1,10.5,35.5,0,5
0.018093,0.31785,0.0011555,37.202,117.69,-0.95695,0.00046159,-0.00017035,-3.0341,105.04,-1.1968,37.442,117.69,0,1,10.575,35.575,0,5
0.018094,0.31852,0.0011554,37.29,117.5,-0.96492,0.00045252,-0.00016641,-3.0134,104.85,-1.2009,37.526,117.5,0,1,10.65,35.65,0,5
0.018094,0.31919,0.0011553,37.378,117.32,-0.973,-0.00044325,0.0001619,-2.9927,104.66,-1.2052,37.61,117.32,0.74053,1,10.725,35.725,0,5
0.018095,0.31986,0.0011551,37.465,117.13,-0.98119,-0.00043379,0.0001568,-2.9722,104.47,-1.2096,37.694,117.13,0.73649,1,10.8,35.8,0,5
0.018095,0.32053,0.001155,37.553,116.95,-0.98949,-0.00042414,0.00015112,-2.9518,104.28,-1.2142,37.778,116.95,0.73245,1,10.875,35.875,0,5
0.018097,0.3212,0.0011547,37.641,116.76,-0.99789,-0.00041431,0.00014486,-2.9314,104.1,-1.219,37.862,116.76,0.7284,1,10.95,35.95,0,5
0.018098,0.32187,0.0011545,37.729,116.58,-1.0064,-0.00040428,0.00013801,-2.9112,103.91,-1.2239,37.946,116.58,0.72436,1,11.025,36.025,0,5
0.018099,0.32254,0.0011543,37.817,116.39,-1.015,-0.00039406,0.00013059,-2.8911,103.72,-1.229,38.031,116.39,0.72032,1,11.1,36.1,0,5
0.0181,0.32321,0.001154,37.905,116.21,-1.0238,-0.00038366,0.00012258,-2.8711,103.53,-1.2343,38.115,116.21,0.71628,1,11.175,36.175,0,5
0.018101,0.32389,0.0011537,37.993,116.02,-1.0326,-0.00037306,0.00011399,-2.8512,103.35,-1.2397,38.2,116.02,0.71224,1,11.25,36.25,0,5
0.018102,0.32456,0.0011533,38.08,115.84,-1.0416,-0.00036227,0.00010482,-2.8314,103.16,-1.2452,38.284,115.84,0.7082,1,11.325,36.325,0,5
0.018104,0.32523,0.001153,38.168,115.65,-1.0506,-0.0003513,9.5069e-05,-2.8117,102.98,-1.251,38.369,115.65,0.70416,1,11.4,36.4,0,5
0.018105,0.3259,0.0011526,38.256,115.46,-1.0598,-0.00034013,8.4736e-05,-2.7921,102.79,-1.2569,38.453,115.46,0.70012,1,11.475,36.475,0,5
0.018107,0.32657,0.0011521,38.344,115.28,-1.0691,-0.00032877,7.382e-05,-2.7726,102.6,-1.2629,38.538,115.28,0.69608,1,11.55,36.55,0,5
0.018108,0.32724,0.0011517,38.432,115.09,-1.0784,-0.00031723,6.2323e-05,-2.7532,102.42,-1.2691,38.623,115.09,0.69204,1,11.625,36.625,0,5
0.01811,0.32791,0.0011512,38.52,114.91,-1.0879,-0.00030549,5.0244e-05,-2.734,102.23,-1.2755,38.707,114.91,0.688,1,11.7,36.7,0,5
0.018111,0.32858,0.0011507,38.608,114.72,-1.0975,-0.00029356,3.7584e-05,-2.7148,102.05,-1.282,38.792,114.72,0.68396,1,11.775,36.775,0,5
0.018113,0.32925,0.0011502,38.696,114.54,-1.1073,-0.00028145,2.4342e-05,-2.6958,101.87,-1.2887,38.877,114.54,0.67992,1,11.85,36.85,0,5
0.018115,0.32992,0.0011496,38.783,114.35,-1.1171,-0.00026914,1.0518e-05,-2.6768,101.68,-1.2956,38.962,114.35,0.67588,1,11.925,36.925,0,5
0.018116,0.33059,0.0011491,38.871,114.16,-1.127,-0.00025664,-3.8874e-06,-2.658,101.5,-1.3026,39.047,114.16,0.67184,1,12,37,0,5
0.018118,0.33126,0.0011485,38.959,113.98,-1.137,-0.00024395,-1.8875e-05,-2.6392,101.31,-1.3098,39.132,113.98,0.6678,1,12.075,37.075,0,5
0.01812,0.33193,0.0011478,39.047,113.79,-1.1472,-0.00023108,-3.4443e-05,-2.6206,101.13,-1.3171,39.217,113.79,0.66376,1,12.15,37.15,0,5
0.018122,0.3326,0.0011472,39.135,113.61,-1.1575,-0.00021801,-5.0593e-05,-2.6021,100.95,-1.3246,39.302,113.61,0.65972,1,12.225,37.225,0,5
0.018124,0.33327,0.0011465,39.223,113.42,-1.1678,-0.00020475,-6.7325e-05,-2.5837,100.76,-1.3323,39.388,113.42,0.65568,1,12.3,37.3,0,5
0.018126,0.33394,0.0011458,39.311,113.23,-1.1783,-0.0001913,-8.4639e-05,-2.5653,100.58,-1.3401,39.473,113.23,0.65164,1,12.375,37.375,0,5
