"ERROR","S:0","S:1","S:2","S:3","S:4","S:5","S_Mises","S_Principal:0","S_Principal:1","S_Principal:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.7284,8.9454,98.359,-0.033296,-0.014923,-3.6323e-10,-5.3444e-12,94.226,-0.014087,8.9261,98.359,0.020925,-0.024752,-1.8381e-13,1,4.8768,55.677,0,0
2.7284,9.1304,97.836,-0.04275,-0.015107,-1.754e-10,-5.418e-12,93.631,-0.032712,9.1203,97.836,0.020916,-0.024692,-1.8389e-13,1,4.9784,55.778,0,0
2.7284,9.3162,97.311,-0.052187,-0.01542,2.1012e-11,-5.4915e-12,93.034,-0.052187,9.3162,97.311,0.020906,-0.02463,-1.8397e-13,1,5.08,55.88,0,0
2.7273,9.4231,96.907,-0.051758,-0.014985,2.0871e-11,-5.4418e-12,92.585,-0.051757,9.4231,96.907,0.020897,-0.024569,-1.8405e-13,1,5.1816,55.982,0,0
2.7262,9.5301,96.504,-0.051365,-0.014551,2.073e-11,-5.392e-12,92.137,-0.051362,9.5301,96.504,0.020888,-0.024508,-1.8413e-13,1,5.2832,56.083,0,0
2.7251,9.6372,96.1,-0.051005,-0.014119,2.0589e-11,-5.3423e-12,91.689,-0.051,9.6372,96.1,0.020879,-0.024448,-1.842e-13,1,5.3848,56.185,0,0
2.724,9.7442,95.696,-0.050679,-0.013689,2.0448e-11,-5.2926e-12,91.241,-0.050673,9.7442,95.696,0.02087,-0.024387,-1.8428e-13,1,5.4864,56.286,0,0
2.7229,9.8513,95.292,-0.050387,-0.01326,2.0306e-11,-5.2428e-12,90.794,-0.05038,9.8513,95.292,0.020861,-0.024326,-1.8436e-13,1,5.588,56.388,0,0
2.7218,9.9585,94.888,-0.05013,-0.012833,2.0165e-11,-5.1931e-12,90.347,-0.050121,9.9585,94.888,0.020852,-0.024265,-1.8443e-13,1,5.6896,56.49,0,0
2.7207,10.066,94.484,-0.049906,-0.012408,2.0024e-11,-5.1433e-12,89.9,-0.049897,10.066,94.484,0.020843,-0.024204,-1.8451e-13,1,5.7912,56.591,0,0
2.7196,10.173,94.08,-0.049716,-0.011985,1.9883e-11,-5.0936e-12,89.454,-0.049706,10.173,94.08,0.020835,-0.024143,-1.8459e-13,1,5.8928,56.693,0,0
2.7185,10.28,93.676,-0.049561,-0.011563,1.9742e-11,-5.0439e-12,89.007,-0.04955,10.28,93.676,0.020826,-0.024082,-1.8466e-13,1,5.9944,56.794,0,0
2.7174,10.387,93.272,-0.04944,-0.011143,1.9601e-11,-4.9941e-12,88.561,-0.049428,10.387,93.272,0.020818,-0.024021,-1.8474e-13,1,6.096,56.896,0,0
2.7163,10.495,92.868,-0.049352,-0.010724,1.946e-11,-4.9444e-12,88.115,-0.049339,10.495,92.868,0.02081,-0.02396,-1.8482e-13,1,6.1976,56.998,0,0
2.7152,10.602,92.464,-0.049299,-0.010307,1.9319e-11,-4.8946e-12,87.67,-0.049285,10.602,92.464,0.020802,-0.023899,-1.8489e-13,1,6.2992,57.099,0,0
2.7141,10.709,92.06,-0.04928,-0.0098919,1.9178e-11,-4.8449e-12,87.225,-0.049266,10.709,92.06,0.020794,-0.023838,-1.8497e-13,1,6.4008,57.201,0,0
2.713,10.817,91.656,-0.049295,-0.0094784,1.9037e-11,-4.7951e-12,86.78,-0.04928,10.817,91.656,0.020786,-0.023777,-1.8505e-13,1,6.5024,57.302,0,0
2.7119,10.924,91.252,-0.049344,-0.0090666,1.8896e-11,-4.7454e-12,86.335,-0.049328,10.924,91.252,0.020778,-0.023717,-1.8512e-13,1,6.604,57.404,0,0
2.7108,11.031,90.847,-0.049427,-0.0086564,1.8755e-11,-4.6956e-12,85.89,-0.049411,11.031,90.847,0.020771,-0.023656,-1.852e-13,1,6.7056,57.506,0,0
2.7097,11.139,90.443,-0.049545,-0.0082479,1.8614e-11,-4.6459e-12,85.446,-0.049527,11.139,90.443,0.020763,-0.023595,-1.8528e-13,1,6.8072,57.607,0,0
2.7086,11.246,90.039,-0.049696,-0.0078411,1.8473e-11,-4.5962e-12,85.002,-0.049678,11.246,90.039,0.020756,-0.023534,-1.8535e-13,1,6.9088,57.709,0,0
2.7075,11.354,89.635,-0.049881,-0.007436,1.8332e-11,-4.5464e-12,84.558,-0.049863,11.354,89.635,0.020748,-0.023473,-1.8543e-13,1,7.0104,57.81,0,0
2.7064,11.462,89.23,-0.050101,-0.0070326,1.8191e-11,-4.4967e-12,84.115,-0.050082,11.462,89.23,0.020741,-0.023412,-1.8551e-13,1,7.112,57.912,0,0
2.7053,11.569,88.826,-0.050354,-0.0066308,1.8049e-11,-4.4469e-12,83.672,-0.050336,11.569,88.826,0.020734,-0.023351,-1.8558e-13,1,7.2136,58.014,0,0
2.7042,11.677,88.422,-0.050642,-0.0062307,1.7908e-11,-4.3972e-12,83.229,-0.050623,11.677,88.422,0.020727,-0.02329,-1.8566e-13,1,7.3152,58.115,0,0
2.7031,11.784,88.017,-0.050963,-0.0058322,1.7767e-11,-4.3474e-12,82.786,-0.050944,11.784,88.017,0.02072,-0.023229,-1.8574e-13,1,7.4168,58.217,0,0
2.702,11.892,87.613,-0.051319,-0.0054355,1.7626e-11,-4.2977e-12,82.344,-0.0513,11.892,87.613,0.020714,-0.023168,-1.8581e-13,1,7.5184,58.318,0,0
2.7009,12,87.208,-0.051709,-0.0050404,1.7485e-11,-4.2479e-12,81.902,-0.05169,12,87.208,0.020707,-0.023107,-1.8589e-13,1,7.62,58.42,0,0
2.6998,12.108,86.804,-0.052133,-0.004647,1.7344e-11,-4.1982e-12,81.46,-0.052114,12.108,86.804,0.0207,-0.023046,-1.8597e-13,1,7.7216,58.522,0,0
2.6987,12.215,86.399,-0.052591,-0.0042553,1.7203e-11,-4.1484e-12,81.018,-0.052572,12.215,86.399,0.020694,-0.022986,-1.8604e-13,1,7.8232,58.623,0,0
2.6976,12.323,85.994,-0.053083,-0.0038652,1.7062e-11,-4.0987e-12,80.577,-0.053064,12.323,85.994,0.020688,-0.022925,-1.8612e-13,1,7.9248,58.725,0,0
2.6965,12.431,85.59,-0.053609,-0.0034769,1.6921e-11,-4.049e-12,80.136,-0.05359,12.431,85.59,0.020682,-0.022864,-1.8619e-13,1,8.0264,58.826,0,0
2.6954,12.539,85.185,-0.054169,-0.0030901,1.678e-11,-3.9992e-12,79.695,-0.054151,12.539,85.185,0.020676,-0.022803,-1.8627e-13,1,8.128,58.928,0,0
2.6943,12.647,84.78,-0.054763,-0.0027051,1.6639e-11,-3.9495e-12,79.254,-0.054746,12.647,84.78,0.02067,-0.022742,-1.8635e-13,1,8.2296,59.03,0,0
2.6932,12.755,84.376,-0.055392,-0.0023218,1.6498e-11,-3.8997e-12,78.814,-0.055374,12.755,84.376,0.020664,-0.022681,-1.8642e-13,1,8.3312,59.131,0,0
2.6921,12.863,83.971,-0.056054,-0.0019401,1.6357e-11,-3.85e-12,78.374,-0.056037,12.863,83.971,0.020658,-0.02262,-1.865e-13,1,8.4328,59.233,0,0
2.691,12.971,83.566,-0.056751,-0.0015601,1.6216e-11,-3.8002e-12,77.934,-0.056734,12.971,83.566,0.020652,-0.022559,-1.8658e-13,1,8.5344,59.334,0,0
2.6899,13.079,83.161,-0.057481,-0.0011817,1.6075e-11,-3.7505e-12,77.495,-0.057465,13.079,83.161,0.020647,-0.022498,-1.8665e-13,1,8.636,59.436,0,0
2.6888,13.187,82.756,-0.058246,-0.00080504,1.5934e-11,-3.7007e-12,77.056,-0.058231,13.187,82.756,0.020641,-0.022437,-1.8673e-13,1,8.7376,59.538,0,0
