"U:0","U:1","U:2","S:0","S:1","S:2","S:3","S:4","S:5","S:6","S:7","S:8","S:9","ERROR","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00040106,4.0931e-09,-2.321e-05,-0.59628,2.8628,-3.943e-06,4.5547e-05,-9.2565e-15,-1.1054e-14,3.2028,-0.59628,-3.943e-06,2.8628,1.3037,1,2.925,27.925,0,5
0.00040056,4.0665e-09,-2.321e-05,-0.58778,2.8543,-4.7851e-06,-5.2689e-05,-9.8478e-15,-4.2181e-15,3.1891,-0.58778,-4.7851e-06,2.8543,1.2987,1,3,28,0,5
0.00040005,4.0402e-09,-2.321e-05,-0.57928,2.8458,-5.5381e-06,-0.00014909,-1.0427e-14,2.4386e-15,3.1753,-0.57928,-5.5381e-06,2.8458,1.2936,1,3.075,28.075,0,5
0.00039955,4.0141e-09,-2.321e-05,-0.57078,2.8373,-6.2019e-06,-0.00024364,-1.0994e-14,8.9162e-15,3.1616,-0.57078,-6.2019e-06,2.8373,1.2886,1,3.15,28.15,0,5
0.00039906,3.9882e-09,-2.321e-05,-0.56228,2.8288,-6.7767e-06,-0.00033636,-1.1549e-14,1.5215e-14,3.1478,-0.56228,-6.7767e-06,2.8288,1.2835,1,3.225,28.225,0,5
0.00039857,3.9624e-09,-2.321e-05,-0.55378,2.8203,-7.2624e-06,-0.00042723,-1.2091e-14,2.1334e-14,3.1341,-0.55378,-7.2624e-06,2.8203,1.2785,1,3.3,28.3,0,5
0.00039808,3.9369e-09,-2.321e-05,-0.54528,2.8118,-7.659e-06,-0.00051627,-1.2621e-14,2.7275e-14,3.1204,-0.54528,-7.659e-06,2.8118,1.2735,1,3.375,28.375,0,5
0.00039759,3.9116e-09,-2.321e-05,-0.53678,2.8033,-7.9665e-06,-0.00060346,-1.314e-14,3.3037e-14,3.1067,-0.53678,-7.9665e-06,2.8033,1.2684,1,3.45,28.45,0,5
0.00039711,3.8865e-09,-2.321e-05,-0.52828,2.7948,-8.1849e-06,-0.00068882,-1.3645e-14,3.862e-14,3.093,-0.52828,-8.1849e-06,2.7948,1.2634,1,3.525,28.525,0,5
0.00039664,3.8616e-09,-2.321e-05,-0.51978,2.7863,-8.3143e-06,-0.00077233,-1.4139e-14,4.4023e-14,3.0793,-0.51978,-8.3143e-06,2.7863,1.2584,1,3.6,28.6,0,5
0.00039617,3.8368e-09,-2.321e-05,-0.51128,2.7778,-8.3545e-06,-0.00085401,-1.4621e-14,4.9248e-14,3.0656,-0.51128,-8.3545e-06,2.7778,1.2533,1,3.675,28.675,0,5
0.0003957,3.8123e-09,-2.321e-05,-0.50278,2.7693,-8.3057e-06,-0.00093385,-1.509e-14,5.4294e-14,3.0519,-0.50278,-8.3057e-06,2.7693,1.2483,1,3.75,28.75,0,5
0.00039523,3.7879e-09,-2.321e-05,-0.49428,2.7608,-8.1677e-06,-0.0010118,-1.5547e-14,5.9161e-14,3.0383,-0.49428,-8.1677e-06,2.7608,1.2433,1,3.825,28.825,0,5
0.00039477,3.7638e-09,-2.321e-05,-0.48577,2.7523,-7.9407e-06,-0.001088,-1.5992e-14,6.3848e-14,3.0246,-0.48577,-7.9407e-06,2.7523,1.2382,1,3.9,28.9,0,5
0.00039432,3.7398e-09,-2.321e-05,-0.47727,2.7438,-7.6246e-06,-0.0011623,-1.6425e-14,6.8357e-14,3.011,-0.47727,-7.6246e-06,2.7438,1.2332,1,3.975,28.975,0,5
0.00039386,3.716e-09,-2.321e-05,-0.46877,2.7353,-7.2194e-06,-0.0012348,-1.6845e-14,7.2687e-14,2.9974,-0.46877,-7.2194e-06,2.7353,1.2281,1,4.05,29.05,0,5
0.00039341,3.6924e-09,-2.321e-05,-0.46027,2.7268,-6.7251e-06,-0.0013054,-1.7253e-14,7.6837e-14,2.9837,-0.46027,-6.7251e-06,2.7268,1.2231,1,4.125,29.125,0,5
0.00039297,3.6689e-09,-2.321e-05,-0.45176,2.7183,-6.1417e-06,-0.0013742,-1.765e-14,8.0809e-14,2.9701,-0.45176,-6.1417e-06,2.7183,1.2181,1,4.2,29.2,0,5
0.00039253,3.6457e-09,-2.321e-05,-0.44326,2.7098,-5.4693e-06,-0.0014412,-1.8033e-14,8.4602e-14,2.9565,-0.44326,-5.4693e-06,2.7098,1.213,1,4.275,29.275,0,5
0.00039209,3.6226e-09,-2.321e-05,-0.43475,2.7013,-4.7077e-06,-0.0015063,-1.8405e-14,8.8216e-14,2.9429,-0.43475,-4.7077e-06,2.7013,1.208,1,4.35,29.35,0,5
